id,score,date,year,month
0,0,2018-01-01,2018,1
1,1,2018-01-02,2018,1
2,2,2018-01-03,2018,1
3,3,2018-01-04,2018,1
4,4,2018-01-05,2018,1
5,5,2018-01-06,2018,1
6,6,2018-01-07,2018,1
7,7,2018-01-08,2018,1
8,8,2018-01-09,2018,1
9,9,2018-01-10,2018,1
10,10,2018-01-11,2018,1
11,11,2018-01-12,2018,1
12,12,2018-01-13,2018,1
13,13,2018-01-14,2018,1
14,14,2018-01-15,2018,1
15,15,2018-01-16,2018,1
16,16,2018-01-17,2018,1
17,17,2018-01-18,2018,1
18,18,2018-01-19,2018,1
19,19,2018-01-20,2018,1
20,20,2018-01-21,2018,1
21,21,2018-01-22,2018,1
22,22,2018-01-23,2018,1
23,23,2018-01-24,2018,1
24,24,2018-01-25,2018,1
25,25,2018-01-26,2018,1
26,26,2018-01-27,2018,1
27,27,2018-01-28,2018,1
28,28,2018-01-29,2018,1
29,29,2018-01-30,2018,1
30,30,2018-01-31,2018,1
31,31,2018-02-01,2018,2
32,32,2018-02-02,2018,2
33,33,2018-02-03,2018,2
34,34,2018-02-04,2018,2
35,35,2018-02-05,2018,2
36,36,2018-02-06,2018,2
37,37,2018-02-07,2018,2
38,38,2018-02-08,2018,2
39,39,2018-02-09,2018,2
40,40,2018-02-10,2018,2
41,41,2018-02-11,2018,2
42,42,2018-02-12,2018,2
43,43,2018-02-13,2018,2
44,44,2018-02-14,2018,2
45,45,2018-02-15,2018,2
46,46,2018-02-16,2018,2
47,47,2018-02-17,2018,2
48,48,2018-02-18,2018,2
49,49,2018-02-19,2018,2
50,50,2018-02-20,2018,2
51,51,2018-02-21,2018,2
52,52,2018-02-22,2018,2
53,53,2018-02-23,2018,2
54,54,2018-02-24,2018,2
55,55,2018-02-25,2018,2
56,56,2018-02-26,2018,2
57,57,2018-02-27,2018,2
58,58,2018-02-28,2018,2
59,59,2018-03-01,2018,3
60,60,2018-03-02,2018,3
61,61,2018-03-03,2018,3
62,62,2018-03-04,2018,3
63,63,2018-03-05,2018,3
64,64,2018-03-06,2018,3
65,65,2018-03-07,2018,3
66,66,2018-03-08,2018,3
67,67,2018-03-09,2018,3
68,68,2018-03-10,2018,3
69,69,2018-03-11,2018,3
70,70,2018-03-12,2018,3
71,71,2018-03-13,2018,3
72,72,2018-03-14,2018,3
73,73,2018-03-15,2018,3
74,74,2018-03-16,2018,3
75,75,2018-03-17,2018,3
76,76,2018-03-18,2018,3
77,77,2018-03-19,2018,3
78,78,2018-03-20,2018,3
79,79,2018-03-21,2018,3
80,80,2018-03-22,2018,3
81,81,2018-03-23,2018,3
82,82,2018-03-24,2018,3
83,83,2018-03-25,2018,3
84,84,2018-03-26,2018,3
85,85,2018-03-27,2018,3
86,86,2018-03-28,2018,3
87,87,2018-03-29,2018,3
88,88,2018-03-30,2018,3
89,89,2018-03-31,2018,3
90,90,2018-04-01,2018,4
91,91,2018-04-02,2018,4
92,92,2018-04-03,2018,4
93,93,2018-04-04,2018,4
94,94,2018-04-05,2018,4
95,95,2018-04-06,2018,4
96,96,2018-04-07,2018,4
97,97,2018-04-08,2018,4
98,98,2018-04-09,2018,4
99,99,2018-04-10,2018,4
