id,score,date,year
0,0,2024-05-10,2024
1,1,2024-05-11,2024
2,2,2024-05-12,2024
3,3,2024-05-13,2024
4,4,2024-05-14,2024
5,5,2024-05-15,2024
6,6,2024-05-16,2024
7,7,2024-05-17,2024
8,8,2024-05-18,2024
9,9,2024-05-19,2024
10,10,2024-05-20,2024
11,11,2024-05-21,2024
12,12,2024-05-22,2024
13,13,2024-05-23,2024
14,14,2024-05-24,2024
15,15,2024-05-25,2024
16,16,2024-05-26,2024
17,17,2024-05-27,2024
18,18,2024-05-28,2024
19,19,2024-05-29,2024
20,20,2024-05-30,2024
21,21,2024-05-31,2024
22,22,2024-06-01,2024
23,23,2024-06-02,2024
24,24,2024-06-03,2024
25,25,2024-06-04,2024
26,26,2024-06-05,2024
27,27,2024-06-06,2024
28,28,2024-06-07,2024
29,29,2024-06-08,2024
30,30,2024-06-09,2024
31,31,2024-06-10,2024
32,32,2024-06-11,2024
33,33,2024-06-12,2024
34,34,2024-06-13,2024
35,35,2024-06-14,2024
36,36,2024-06-15,2024
37,37,2024-06-16,2024
38,38,2024-06-17,2024
39,39,2024-06-18,2024
40,40,2024-06-19,2024
41,41,2024-06-20,2024
42,42,2024-06-21,2024
43,43,2024-06-22,2024
44,44,2024-06-23,2024
45,45,2024-06-24,2024
46,46,2024-06-25,2024
47,47,2024-06-26,2024
48,48,2024-06-27,2024
49,49,2024-06-28,2024
50,50,2024-06-29,2024
51,51,2024-06-30,2024
52,52,2024-07-01,2024
53,53,2024-07-02,2024
54,54,2024-07-03,2024
55,55,2024-07-04,2024
56,56,2024-07-05,2024
57,57,2024-07-06,2024
58,58,2024-07-07,2024
59,59,2024-07-08,2024
60,60,2024-07-09,2024
61,61,2024-07-10,2024
62,62,2024-07-11,2024
63,63,2024-07-12,2024
64,64,2024-07-13,2024
65,65,2024-07-14,2024
66,66,2024-07-15,2024
67,67,2024-07-16,2024
68,68,2024-07-17,2024
69,69,2024-07-18,2024
70,70,2024-07-19,2024
71,71,2024-07-20,2024
72,72,2024-07-21,2024
73,73,2024-07-22,2024
74,74,2024-07-23,2024
75,75,2024-07-24,2024
76,76,2024-07-25,2024
77,77,2024-07-26,2024
78,78,2024-07-27,2024
79,79,2024-07-28,2024
80,80,2024-07-29,2024
81,81,2024-07-30,2024
82,82,2024-07-31,2024
83,83,2024-08-01,2024
84,84,2024-08-02,2024
85,85,2024-08-03,2024
86,86,2024-08-04,2024
87,87,2024-08-05,2024
88,88,2024-08-06,2024
89,89,2024-08-07,2024
90,90,2024-08-08,2024
91,91,2024-08-09,2024
92,92,2024-08-10,2024
93,93,2024-08-11,2024
94,94,2024-08-12,2024
95,95,2024-08-13,2024
96,96,2024-08-14,2024
97,97,2024-08-15,2024
98,98,2024-08-16,2024
99,99,2024-08-17,2024
